CustomerID	Customer	Created	CreatedBy	LastModified	LastModifiedBy	Notes
1	The Fresh Market 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
2	Grocery Outlet 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
3	Fareway Stores 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
4	Woodman's Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
5	Lowe's Market 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
6	Bodega Latina 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
7	Redner's Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
8	King Kullen Grocery Co. 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
9	Northgate Gonzalez Market 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
10	Rouses Enterprises 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
11	Cardenas Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
12	Jerry's Enterprises 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
13	Niemann Foods 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
14	Foodland Super Market 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
15	Dierbergs Markets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
16	Lewis Food Town 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
17	Vallarta Supermarkets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
18	Haggen Inc. 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
19	Festival Foods 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
20	Roche Bros. Supermarkets 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
21	Cosentino's Food Stores 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
22	Glass Gardens 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
23	Harps Food Stores 	10/8/2012 13:51	clarksunpacific@hotmail.com	10/8/2012 13:51	clarksunpacific@hotmail.com	
