SentInvoiceID	Business	Description	BusinessLocation	JobID	JobDate	 QuoteAmount 	PaidDate	 PaidAmt 	CheckNum	TIPS	 OUTSOURCED 	NOTES
2254	.	.	.									
2255	.	.	.									
2256	VOID/Duplicate	.	.									
2257	.	.	.									
2258	.	.	.									
2259	.	.	.									
2260	.	.	.									
2273												
2274												
2275												
2276												
2277												
2278												
2279												
2280												
2281												
2282												
2283												
