Date	Description	Amount	Running Bal.
8/22/2011	1108 POLK S ATM WITHDRWL 08-20 #000840336 CUSTOMER 3430 1108 POLK ST SAN FRANCISCO CA	-102	1624.48
7/26/2011	1200 LA PLA ATM WITHDRWL 07-26 #000446674 CUSTOMER 3448 1200 LA PLAYA SAN FRANCISCO CA	-122.5	1320
8/1/2011	"1373 EXTRA SPACE STORA 07/29 CARD #3448 PURCHASE #24323001211253210010284 650-994-4211, CA"	-10	166.72
8/1/2011	"1373 EXTRA SPACE STORA 07/29 CARD #3448 PURCHASE #24323001211253210010318 COLMA, CA"	-19	192.39
9/23/2011	1436 Polk S ATM WITHDRWL 09-23 #000743005 CUSTOMER 3448 1436 Polk Street San Francisco CA	-102.5	963.03
9/29/2011	1444 POLK S ATM WITHDRWL 09-29 #000600446 CUSTOMER 3448 1444 POLK ST. SAN FRANCISCO CA	-62.5	512.8
8/26/2011	1700 POWELL ATM WITHDRWL 08-26 #000605740 CUSTOMER 3448 1700 POWELL ST EMERYVILLE CA	-101.75	778.49
8/15/2011	199 VALENCI ATM WITHDRWL 08-14 #000661072 CUSTOMER 3430 199 VALENCIA ST. SAN FRANCISCO CA	-83.95	3519.68
7/12/2011	2020 ROLLIN ATM WITHDRWL 07-12 #000007871 CUSTOMER 3448 2020 ROLLINGWOOD SAN BRUNO CA	-62.95	171.2
6/20/2011	"222 HYDE 06/16 CARD #3448 PURCHASE #24559301170400001570012 SAN FRANCISCO, CA"	-15	779.83
6/15/2011	29 GROVE ST ATM WITHDRWL 06-15 #000259423 CUSTOMER 3448 29 GROVE ST. SAN FRANCISCO CA	-42.5	670.71
5/19/2011	3080 San Jo ATM WITHDRWL 05-19 #000267459 CUSTOMER 3448 3080 San Jose Ave San Francisco CA	-62.95	205.22
9/9/2011	3122 16TH S ATM WITHDRWL 09-08 #000832004 CUSTOMER 3448 3122 16TH ST. SAN FRANCISCO CA	-62.5	200.62
8/22/2011	328 WEST PO ATM WITHDRWL 08-19 #000646413 CUSTOMER 3430 328 WEST PORTAL A SAN FRANCISCO CA	-62	1383.48
9/23/2011	3400 ADELIN ATM WITHDRWL 09-22 #000435984 CUSTOMER 3448 3400 ADELINE EMERYVILLE CA	-42.75	920.28
6/13/2011	5741 THORNH ATM WITHDRWL 06-12 #000002223 CUSTOMER 3448 5741 THORNHILL DR OAKLAND CA	-102.95	897.66
8/12/2011	6198 MISSIO ATM WITHDRWL 08-12 #000909100 CUSTOMER 3448 6198 MISSION ST. SAN FRANCISCO CA	-142.25	3732.89
5/19/2011	76 / CIRCLE K # 5 05-19 CUSTOMER 3448 PURCHASE #647106 HERCULES CA	-40.55	104.67
9/19/2011	76 09-18 CUSTOMER 3448 PURCHASE #342904 EMERYVILLE CA	-7.58	2479.42
9/22/2011	76 09-22 CUSTOMER 3448 PURCHASE #979629 SAN FRANCISCO CA	-5.94	1379.53
7/11/2011	77 CAMBON ATM WITHDRWL 07-09 #000734096 CUSTOMER 3448 77 CAMBON SAN FRANCISCO CA	-42.95	306.9
6/10/2011	7-ELEVEN 06-10 CUSTOMER 3448 PURCHASE #332011 SAN FRANCISCO CA	-7.18	1000.61
6/14/2011	"7-ELEVEN 14170 06/12 CARD #3448 PURCHASE #24299101164012948546703 OAKLAND, CA"	-6.99	713.21
7/29/2011	"7-ELEVEN 20450 07/27 CARD #3448 PURCHASE #24299101209015198688114 SAN FRANCISCO, CA"	-25.22	978.33
5/11/2011	"7-ELEVEN 20643 05/09 CARD #3448 PURCHASE #24299101130011253130948 SAN FRANCISCO, CA"	-10.17	3390.59
